,buy1,buy2,spoil_ratio,succes_ratio
58,8.0,7.0,0.6688816936363846,0.8865404194969013
72,7.0,7.0,0.635600713375385,0.859170167848404
122,8.0,8.0,0.7031216266633677,0.9076186383732318
174,6.0,7.0,0.6009701949248364,0.826489535680791
178,6.0,6.0,0.5622831598272986,0.7911597606278504
181,2.0,2.0,0.3499664559660465,0.3259312545983122
194,1.0,1.0,0.3270893697138662,0.2156874267060295
196,4.0,4.0,0.4186836807098171,0.5919585321520053
198,5.0,5.0,0.4861401384154267,0.7017083214488523
199,3.0,3.0,0.3735553529293683,0.4595103887016707
