HC,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
0.01, 0, 0, 1, 0, 0, 0, 1, 2.40261869653056e-07, 0.0003780550001499348, 1.073327792439842e-11, 0.0007748412290974049, 0.008202520553485975, 5.678144413696856e-05, 0.9993984648155859
