,Distr1,Distr2,Fact,lost_ratio_sales_dis,lost_ratio_sales_fac,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_factory_MA_mean_relative,stock_retailer_MA_mean_relative,v1_DailyPurchase,v1_s_Q,v2_PeriodicallyPurchase,v2_s_S,v3_R_S,v3_Random,v4_Random
0,3.0,12.0,1.0,0.0773679156793774,0.0120400031866956,0.001873189162804,0.0332307320117723,0.2262629495530795,0.5087369982732636,0.2328029764422003,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,24.0,94.0,4.0,0.0687274472892606,0.0004169542996535,0.0001109650780445,0.0081306622370355,0.157418324674812,0.6846568855881449,0.1554147603752431,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,5.0,10.0,1.0,0.0709218999936037,0.0115708096377541,0.0009357608502262,0.0292127027374746,0.2651885088420432,0.4925649198404373,0.2089598100656878,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3,9.0,36.0,2.0,0.0831933215423868,0.0121199535970755,0.0004271798721082,0.0176730807536153,0.2661101181797575,0.4636992995907885,0.2465260221489613,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6,6.0,19.0,1.0,0.0739474537081423,0.009511844504723,0.0006741285742968,0.029621958498802,0.2714698732597876,0.4592563906966863,0.2449988246137416,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7,11.0,33.0,2.0,0.0797695470718112,0.0079254802689202,0.00051228350858,0.0212261929700255,0.254168010140954,0.5006596822654614,0.226867670725673,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8,23.0,92.0,4.0,0.0694173862597852,0.0004467749573843,0.0001246261567394,0.0083428467428434,0.1561119293533091,0.6875769993350911,0.1552647131762707,0.0,1.0,0.0,0.0,0.0,1.0,0.0
9,24.0,94.0,4.0,0.0696251478347947,0.0006373199298388,0.0001021284353348,0.0078039868081132,0.1739368765801245,0.6554217680798504,0.1626223997990683,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10,24.0,94.0,4.0,0.0679288146708086,0.0003008693653229,0.0001137814357752,0.0081697770760495,0.1465881479184382,0.7083661945577586,0.1471620916063889,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11,6.0,12.0,1.0,0.0707784572290862,0.0135531212731542,0.0006979291820321,0.0295067462419982,0.2868814525014349,0.4582264110956706,0.2249572736069567,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12,23.0,91.0,4.0,0.0706903626824857,0.0007391798628235,0.0001180136868939,0.008071584184812,0.1740435243807311,0.655278345135262,0.1637898206462797,0.0,0.0,0.0,0.0,0.0,1.0,1.0
13,24.0,96.0,4.0,0.0672714385373858,0.000258462845341,0.000108556403597,0.008080038814668,0.1438929673805038,0.7136352337398215,0.1452983781886116,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14,24.0,96.0,4.0,0.06892655068435,0.0005456282288096,9.693002889306862e-05,0.0076985442151355,0.17087393302401,0.6615140569452909,0.1602833032600306,0.0,0.0,0.0,0.0,0.0,1.0,1.0
15,6.0,23.0,1.0,0.0799071770872693,0.0137225925069144,0.0005194070606457,0.0265472650919036,0.2902612265128339,0.4189816641623768,0.2711884677419975,0.0,0.0,1.0,0.0,1.0,0.0,0.0
16,23.0,92.0,4.0,0.0703352974972268,0.0006839492439429,0.0001149710249478,0.0080168857432064,0.1725059219132894,0.6583316365859428,0.1626100666126972,0.0,0.0,0.0,0.0,0.0,1.0,1.0
17,23.0,90.0,4.0,0.0710470833186571,0.0007988669274718,0.0001211368619096,0.0081266527712366,0.1755919238120359,0.6522121827548264,0.1649764476458262,0.0,0.0,0.0,0.0,0.0,1.0,1.0
18,3.0,10.0,1.0,0.0748284197935343,0.0116024387789108,0.0017008419473663,0.0318369181804033,0.2298952460285619,0.5204661707794054,0.2172733341373948,0.0,0.0,0.0,0.0,0.0,1.0,1.0
19,23.0,90.0,4.0,0.0700941566818716,0.0005200621527598,0.0001306245565442,0.0084354789710512,0.1589934721959103,0.6820421192876065,0.1572327457705396,0.0,1.0,0.0,0.0,0.0,1.0,0.0
