lr, batch_size, MSE
0.1,16,0.11532983928918839
0.1,32,0.11522570252418518
0.1,64,0.11545287072658539
0.1,128,0.11541379988193512
0.1,264,0.1152968555688858
0.01,16,0.11541396379470825
0.01,32,0.1151433140039444
0.01,64,0.11525876820087433
0.01,128,0.11516012251377106
0.01,264,0.11517860740423203
0.001,16,0.04648473113775253
0.001,32,0.03427394852042198
0.001,64,0.029298141598701477
0.001,128,0.04253827780485153
0.001,264,0.03219433128833771
0.0001,16,0.05108959227800369
0.0001,32,0.0514712780714035
0.0001,64,0.06979162991046906
0.0001,128,0.037882596254348755
0.0001,264,0.050266288220882416
1e-05,16,0.1338992714881897
1e-05,32,0.06665389239788055
1e-05,64,0.1110038310289383
1e-05,128,0.1650875359773636
1e-05,264,0.08339032530784607
